127.0.0.1 - - [17/Nov/2021:10:46:27 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:28 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:28 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:28 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:28 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:35 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:35 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:36 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:36 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:36 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:42 -0300] "GET /PI-AssistenciaTecnica/pages/adm/index.html HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:42 -0300] "GET /PI-AssistenciaTecnica/css/admin.css HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:42 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:42 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:42 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:42 -0300] "GET /PI-AssistenciaTecnica/pages/adm/geral/cabecalho.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:43 -0300] "GET /PI-AssistenciaTecnica/pages/adm/funcao/cadastro_funcionario.html HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:43 -0300] "GET /PI-AssistenciaTecnica/js/admin.js HTTP/1.1" 200 7472
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:44 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:44 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:44 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:46 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:49 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:49 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [17/Nov/2021:10:46:50 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 103
